study_accession	experiment_title	fastq_ftp
PRJNA288695	NextSeq 500 sequencing; GSM1727083: Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084462/SRR2084462.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727083: Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084463/SRR2084463.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727083: Input_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084464/SRR2084464.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727084: Input_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084465/SRR2084465.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727084: Input_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084466/SRR2084466.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727084: Input_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084467/SRR2084467.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727085: Input_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084468/SRR2084468.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727085: Input_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084469/SRR2084469.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727085: Input_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084470/SRR2084470.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727086: Input_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084471/SRR2084471.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727086: Input_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084472/SRR2084472.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727086: Input_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084473/SRR2084473.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727087: Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084474/SRR2084474.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727087: Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084475/SRR2084475.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727087: Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084476/SRR2084476.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727087: Input_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084477/SRR2084477.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727088: Input_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084478/SRR2084478.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727088: Input_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084479/SRR2084479.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727088: Input_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084480/SRR2084480.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727089: Input_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084481/SRR2084481.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727089: Input_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084482/SRR2084482.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727089: Input_shSCR_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084483/SRR2084483.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727090: LEO1_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084484/SRR2084484.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727090: LEO1_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084485/SRR2084485.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727090: LEO1_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084486/SRR2084486.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727090: LEO1_shPAF1.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084487/SRR2084487.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727091: LEO1_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084488/SRR2084488.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727091: LEO1_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084489/SRR2084489.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727091: LEO1_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084490/SRR2084490.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727091: LEO1_shSCR_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084491/SRR2084491.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727092: N20_shBre1A.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084492/SRR2084492.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727092: N20_shBre1A.1_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084493/SRR2084493.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727093: N20_shBre1A.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084494/SRR2084494.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727093: N20_shBre1A.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084495/SRR2084495.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727094: N20_shPAF1.1_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084496/SRR2084496.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727094: N20_shPAF1.1_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084497/SRR2084497.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727094: N20_shPAF1.1_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084498/SRR2084498.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727094: N20_shPAF1.1_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084499/SRR2084499.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727095: N20_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084500/SRR2084500.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727095: N20_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084501/SRR2084501.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727095: N20_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084502/SRR2084502.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727095: N20_shPAF1.1_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084503/SRR2084503.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727096: N20_shPAF1.1_FP_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084504/SRR2084504.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727096: N20_shPAF1.1_FP_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084505/SRR2084505.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727096: N20_shPAF1.1_FP_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084506/SRR2084506.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727096: N20_shPAF1.1_FP_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084507/SRR2084507.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727097: N20_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084508/SRR2084508.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727097: N20_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084509/SRR2084509.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727097: N20_shPAF1.1_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084510/SRR2084510.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727098: N20_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084511/SRR2084511.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727098: N20_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084512/SRR2084512.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727098: N20_shPAF1.1_HCT116_rep2_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084513/SRR2084513.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727099: N20_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084514/SRR2084514.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727099: N20_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084515/SRR2084515.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727099: N20_shPAF1.2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084516/SRR2084516.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727100: N20_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084517/SRR2084517.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727100: N20_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084518/SRR2084518.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727100: N20_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084519/SRR2084519.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727100: N20_shSCR_DMSO_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084520/SRR2084520.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727101: N20_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084521/SRR2084521.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727101: N20_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084522/SRR2084522.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727101: N20_shSCR_HCT116_rep1_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084523/SRR2084523.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727102: N20_shSCR_N20shBre1A_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084524/SRR2084524.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727102: N20_shSCR_N20shBre1A_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084525/SRR2084525.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727103: N20_shSCR_N20shPAF1.2_N20shPAF1.1rep2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084526/SRR2084526.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727103: N20_shSCR_N20shPAF1.2_N20shPAF1.1rep2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084527/SRR2084527.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727103: N20_shSCR_N20shPAF1.2_N20shPAF1.1rep2_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084528/SRR2084528.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727104: N20_shSCR_serum_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084529/SRR2084529.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727104: N20_shSCR_serum_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/000/SRR2084530/SRR2084530.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727104: N20_shSCR_serum_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/001/SRR2084531/SRR2084531.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727104: N20_shSCR_serum_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2084532/SRR2084532.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727105: N20_shSCR_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2084533/SRR2084533.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727105: N20_shSCR_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/004/SRR2084534/SRR2084534.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727105: N20_shSCR_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/005/SRR2084535/SRR2084535.fastq.gz
PRJNA288695	NextSeq 500 sequencing; GSM1727105: N20_shSCR_starve_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2084536/SRR2084536.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727106: PAF1_WT_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/007/SRR2084537/SRR2084537.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727106: PAF1_WT_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/008/SRR2084538/SRR2084538.fastq.gz
PRJNA288695	Illumina HiSeq 2000 sequencing; GSM1727106: PAF1_WT_HCT116_ChIPSeq; Homo sapiens; ChIP-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/009/SRR2084539/SRR2084539.fastq.gz
